-3.9979,-1.7493,0.49932,2.7479
-4.0804,-1.3945,1.2915,3.9774
-3.6241,-1.57,0.48402,2.5381
-3.989,-1.4687,1.0516,3.5719
-4.0345,-1.5159,1.0028,3.5215
-3.7959,-1.3573,1.0814,3.5201
-5.5569,-2.7457,0.065527,2.8768
-2.2411,0.14643,2.534,4.9215
-3.1664,-1.2385,0.68934,2.6172
-4.0958,-1.3901,1.3156,4.0213
-3.9786,-1.7609,0.45675,2.6744
-2.4576,0.037382,2.5324,5.0274
-3.3967,-1.2712,0.85443,2.98
-2.1859,0.12383,2.4335,4.7432
-4.3948,-2.1585,0.077757,2.314
-3.4135,-1.2448,0.92379,3.0924
-3.4891,-1.0602,1.3687,3.7976
-2.8252,-0.44575,1.9337,4.3131
-2.9503,-0.3895,2.1713,4.732
-2.251,0.11684,2.4847,4.8526
